Status,Listing Office 1 - Office Code,Price,Days On Market,Approx Sq Ft,Status Date
SOLD,66,"$1,375,000 ",47,1555,8/24/17
SOLD,1481,"$679,000 ",5,877,8/25/17
SOLD,5845,"$752,745 ",9,877,8/25/17
SOLD,5845,"$865,000 ",61,1401,8/25/17
DABO,5830,"$1,650,000 ",7,,8/25/17
SOLD,1598,"$1,995,000 ",79,,8/25/17
SOLD,1623,"$2,100,000 ",30,,8/28/17
SOLD,64,"$1,800,000 ",5,,8/28/17
SOLD,64,"$1,610,000 ",4,,8/28/17
SOLD,1186,"$480,000 ",27,825,8/28/17
SOLD,1294,"$829,000 ",31,1310,8/28/17
SOLD,1457,"$1,950,000 ",21,,8/29/17
SOLD,1294,"$920,000 ",13,1391,8/29/17
SOLD,151,"$440,000 ",10,675,8/29/17
SOLD,1623,"$1,280,000 ",7,1701,8/29/17
SOLD,151,"$538,000 ",13,811,8/29/17
SOLD,156,"$1,250,000 ",67,1700,8/29/17
SOLD,1598,"$845,000 ",22,895,8/29/17
SOLD,1598,"$770,000 ",77,1227,8/29/17
SOLD,1598,"$945,000 ",14,1219,8/29/17
SOLD,1623,"$550,000 ",25,764,8/30/17
SOLD,1294,"$482,500 ",9,528,8/30/17
SOLD,1598,"$560,000 ",21,714,8/30/17
SOLD,5920,"$608,000 ",9,800,8/30/17
SOLD,1623,"$430,000 ",8,715,8/30/17
SOLD,150,"$350,000 ",92,475,8/31/17
SOLD,1186,"$925,000 ",18,1340,8/31/17
SOLD,1186,"$1,630,000 ",67,1637,9/1/17
SOLD,1623,"$950,000 ",9,1350,9/1/17
SOLD,1623,"$950,000 ",97,1155,9/2/17
SOLD,1650,"$510,000 ",6,660,9/4/17
SOLD,1411,"$490,000 ",75,646,9/4/17
SOLD,1635,"$2,310,000 ",21,,9/5/17
SOLD,1568,"$845,000 ",35,908,9/5/17
SOLD,298,"$849,000 ",14,1403,9/5/17
SOLD,1635,"$1,800,000 ",11,,9/6/17
SOLD,298,"$350,000 ",7,502,9/6/17
SOLD,1641,"$899,000 ",4,1160,9/6/17
SOLD,1623,"$597,000 ",23,832,9/7/17
SOLD,1623,"$710,000 ",28,1083,9/7/17
SOLD,1623,"$816,000 ",5,1152,9/7/17
SOLD,1622,"$345,000 ",9,392,9/8/17
SOLD,64,"$595,000 ",18,878,9/8/17
SOLD,1186,"$490,000 ",5,655,9/8/17
SOLD,1598,"$820,000 ",123,1560,9/8/17
SOLD,1543,"$810,000 ",13,1222,9/8/17
SOLD,5678,"$915,000 ",21,1324,9/9/17
SOLD,1605,"$430,000 ",7,,9/11/17
SOLD,1623,"$925,000 ",125,1177,9/11/17
SOLD,298,"$830,000 ",4,1250,9/11/17
SOLD,1623,"$930,000 ",36,1599,9/11/17
SOLD,1603,"$880,000 ",33,1072,9/11/17
SOLD,1635,"$640,000 ",50,1040,9/12/17
SOLD,1698,"$760,000 ",18,1375,9/13/17
SOLD,151,"$492,000 ",41,892,9/13/17
SOLD,1598,"$620,000 ",10,735,9/13/17
SOLD,5888,"$540,000 ",19,789,9/13/17
SOLD,1635,"$990,000 ",0,,9/14/17
SOLD,1481,"$789,000 ",41,1348,9/15/17
SOLD,224,"$852,352 ",0,1100,9/15/17
SOLD,1608,"$765,000 ",12,1200,9/15/17
SOLD,1623,"$1,550,000 ",22,2147,9/15/17
SOLD,1186,"$865,000 ",13,1204,9/15/17
SOLD,1623,"$845,000 ",21,1145,9/15/17
SOLD,1186,"$969,000 ",17,1367,9/15/17
SOLD,5845,"$2,020,000 ",19,,9/15/17
SOLD,1639,"$585,000 ",2,784,9/18/17
SOLD,1635,"$705,000 ",12,869,9/18/17
SOLD,156,"$1,350,000 ",131,,9/18/17
SOLD,1739,"$820,000 ",11,1163,9/18/17
SOLD,1623,"$1,325,000 ",131,1280,9/19/17
SOLD,298,"$735,000 ",33,1096,9/19/17
SOLD,1681,"$540,000 ",75,636,9/20/17
SOLD,1556,"$640,000 ",23,1052,9/20/17
